Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,41.799200% to 58.00%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-2.68064e-03,0.066,0.07
-2.68048e-03,0.066,0.066
-2.68032e-03,0.066,0.07
-2.68016e-03,0.07,0.062
-2.68000e-03,0.066,0.074
-2.67984e-03,0.066,0.062
-2.67968e-03,0.066,0.07
-2.67952e-03,0.062,0.062
-2.67936e-03,0.066,0.07
-2.67920e-03,0.066,0.062
-2.67904e-03,0.066,0.07
-2.67888e-03,0.062,0.062
-2.67872e-03,0.066,0.07
-2.67856e-03,0.066,0.062
-2.67840e-03,0.066,0.074
-2.67824e-03,0.066,0.062
-2.67808e-03,0.066,0.074
-2.67792e-03,0.062,0.062
-2.67776e-03,0.066,0.07
-2.67760e-03,0.062,0.062
-2.67744e-03,0.062,0.07
-2.67728e-03,0.062,0.062
-2.67712e-03,0.062,0.07
-2.67696e-03,0.066,0.062
-2.67680e-03,0.066,0.07
-2.67664e-03,0.066,0.062
-2.67648e-03,0.066,0.07
-2.67632e-03,0.066,0.062
-2.67616e-03,0.066,0.07
-2.67600e-03,0.066,0.062
-2.67584e-03,0.062,0.07
-2.67568e-03,0.066,0.062
-2.67552e-03,0.062,0.07
-2.67536e-03,0.062,0.062
-2.67520e-03,0.062,0.07
-2.67504e-03,0.062,0.062
-2.67488e-03,0.066,0.07
-2.67472e-03,0.062,0.062
-2.67456e-03,0.062,0.07
-2.67440e-03,0.062,0.058
-2.67424e-03,0.062,0.07
-2.67408e-03,0.062,0.058
-2.67392e-03,0.062,0.07
-2.67376e-03,0.066,0.058
-2.67360e-03,0.066,0.07
-2.67344e-03,0.066,0.062
-2.67328e-03,0.066,0.07
-2.67312e-03,0.066,0.062
-2.67296e-03,0.066,0.07
-2.67280e-03,0.066,0.062
-2.67264e-03,0.066,0.07
-2.67248e-03,0.066,0.062
-2.67232e-03,0.066,0.07
-2.67216e-03,0.066,0.062
-2.67200e-03,0.066,0.07
-2.67184e-03,0.066,0.062
-2.67168e-03,0.066,0.07
-2.67152e-03,0.066,0.062
-2.67136e-03,0.066,0.07
-2.67120e-03,0.066,0.062
-2.67104e-03,0.062,0.07
-2.67088e-03,0.066,0.062
-2.67072e-03,0.066,0.07
-2.67056e-03,0.062,0.062
-2.67040e-03,0.066,0.07
-2.67024e-03,0.066,0.062
-2.67008e-03,0.062,0.07
-2.66992e-03,0.062,0.062
-2.66976e-03,0.066,0.07
-2.66960e-03,0.062,0.062
-2.66944e-03,0.062,0.07
-2.66928e-03,0.066,0.062
-2.66912e-03,0.066,0.07
-2.66896e-03,0.066,0.062
-2.66880e-03,0.066,0.07
-2.66864e-03,0.066,0.062
-2.66848e-03,0.066,0.07
-2.66832e-03,0.062,0.062
-2.66816e-03,0.066,0.07
-2.66800e-03,0.066,0.062
-2.66784e-03,0.07,0.07
-2.66768e-03,0.066,0.062
-2.66752e-03,0.062,0.07
-2.66736e-03,0.066,0.062
-2.66720e-03,0.066,0.07
-2.66704e-03,0.066,0.062
-2.66688e-03,0.066,0.07
-2.66672e-03,0.062,0.062
-2.66656e-03,0.066,0.07
-2.66640e-03,0.066,0.062
-2.66624e-03,0.066,0.07
-2.66608e-03,0.066,0.062
-2.66592e-03,0.066,0.07
-2.66576e-03,0.066,0.066
-2.66560e-03,0.066,0.07
-2.66544e-03,0.066,0.062
-2.66528e-03,0.066,0.074
-2.66512e-03,0.066,0.062
-2.66496e-03,0.066,0.07
-2.66480e-03,0.066,0.062
-2.66464e-03,0.062,0.07
-2.66448e-03,0.066,0.062
-2.66432e-03,0.066,0.07
-2.66416e-03,0.066,0.062
-2.66400e-03,0.066,0.07
-2.66384e-03,0.066,0.062
-2.66368e-03,0.066,0.07
-2.66352e-03,0.066,0.062
-2.66336e-03,0.066,0.07
-2.66320e-03,0.062,0.062
-2.66304e-03,0.066,0.07
-2.66288e-03,0.066,0.062
-2.66272e-03,0.066,0.07
-2.66256e-03,0.066,0.062
-2.66240e-03,0.066,0.07
-2.66224e-03,0.062,0.062
-2.66208e-03,0.062,0.07
-2.66192e-03,0.062,0.062
-2.66176e-03,0.062,0.07
-2.66160e-03,0.066,0.062
-2.66144e-03,0.066,0.07
-2.66128e-03,0.066,0.062
-2.66112e-03,0.07,0.07
-2.66096e-03,0.066,0.062
-2.66080e-03,0.066,0.07
-2.66064e-03,0.066,0.062
-2.66048e-03,0.066,0.07
-2.66032e-03,0.066,0.062
-2.66016e-03,0.066,0.07
-2.66000e-03,0.066,0.062
-2.65984e-03,0.066,0.07
-2.65968e-03,0.066,0.062
-2.65952e-03,0.066,0.07
-2.65936e-03,0.066,0.062
-2.65920e-03,0.066,0.07
-2.65904e-03,0.066,0.062
-2.65888e-03,0.066,0.074
-2.65872e-03,0.066,0.062
-2.65856e-03,0.066,0.074
-2.65840e-03,0.066,0.066
-2.65824e-03,0.066,0.074
-2.65808e-03,0.066,0.062
-2.65792e-03,0.066,0.07
-2.65776e-03,0.066,0.062
-2.65760e-03,0.066,0.07
-2.65744e-03,0.066,0.062
-2.65728e-03,0.066,0.07
-2.65712e-03,0.066,0.062
