Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-1.19974e-02,0.462,0.466
-1.19973e-02,0.462,0.458
-1.19971e-02,0.458,0.47
-1.19970e-02,0.458,0.458
-1.19968e-02,0.458,0.466
-1.19966e-02,0.458,0.454
-1.19965e-02,0.454,0.462
-1.19963e-02,0.454,0.454
-1.19962e-02,0.45,0.462
-1.19960e-02,0.458,0.45
-1.19958e-02,0.454,0.458
-1.19957e-02,0.454,0.45
-1.19955e-02,0.454,0.458
-1.19954e-02,0.458,0.45
-1.19952e-02,0.454,0.458
-1.19950e-02,0.454,0.45
-1.19949e-02,0.454,0.458
-1.19947e-02,0.45,0.454
-1.19946e-02,0.45,0.462
-1.19944e-02,0.446,0.446
-1.19942e-02,0.446,0.458
-1.19941e-02,0.446,0.446
-1.19939e-02,0.446,0.454
-1.19938e-02,0.442,0.442
-1.19936e-02,0.442,0.45
-1.19934e-02,0.442,0.438
-1.19933e-02,0.442,0.446
-1.19931e-02,0.45,0.438
-1.19930e-02,0.45,0.45
-1.19928e-02,0.45,0.442
-1.19926e-02,0.454,0.454
-1.19925e-02,0.454,0.45
-1.19923e-02,0.454,0.458
-1.19922e-02,0.45,0.45
-1.19920e-02,0.45,0.458
-1.19918e-02,0.446,0.446
-1.19917e-02,0.446,0.454
-1.19915e-02,0.442,0.442
-1.19914e-02,0.438,0.454
-1.19912e-02,0.438,0.434
-1.19910e-02,0.438,0.446
-1.19909e-02,0.438,0.434
-1.19907e-02,0.446,0.442
-1.19906e-02,0.446,0.434
-1.19904e-02,0.45,0.446
-1.19902e-02,0.45,0.442
-1.19901e-02,0.454,0.454
-1.19899e-02,0.45,0.446
-1.19898e-02,0.45,0.458
-1.19896e-02,0.45,0.446
-1.19894e-02,0.446,0.458
-1.19893e-02,0.446,0.442
-1.19891e-02,0.438,0.454
-1.19890e-02,0.442,0.438
-1.19888e-02,0.442,0.45
-1.19886e-02,0.442,0.438
-1.19885e-02,0.442,0.446
-1.19883e-02,0.446,0.438
-1.19882e-02,0.446,0.45
-1.19880e-02,0.45,0.442
-1.19878e-02,0.458,0.45
-1.19877e-02,0.458,0.446
-1.19875e-02,0.462,0.458
-1.19874e-02,0.462,0.454
-1.19872e-02,0.462,0.462
-1.19870e-02,0.462,0.458
-1.19869e-02,0.458,0.466
-1.19867e-02,0.462,0.458
-1.19866e-02,0.458,0.466
-1.19864e-02,0.458,0.454
-1.19862e-02,0.458,0.462
-1.19861e-02,0.458,0.454
-1.19859e-02,0.454,0.462
-1.19858e-02,0.458,0.454
-1.19856e-02,0.462,0.462
-1.19854e-02,0.466,0.454
-1.19853e-02,0.462,0.466
-1.19851e-02,0.462,0.458
-1.19850e-02,0.462,0.466
-1.19848e-02,0.462,0.458
-1.19846e-02,0.458,0.47
-1.19845e-02,0.45,0.454
-1.19843e-02,0.446,0.466
-1.19842e-02,0.442,0.446
-1.19840e-02,0.442,0.458
-1.19838e-02,0.438,0.442
-1.19837e-02,0.434,0.454
-1.19835e-02,0.434,0.43
-1.19834e-02,0.43,0.446
-1.19832e-02,0.434,0.43
-1.19830e-02,0.438,0.438
-1.19829e-02,0.438,0.43
-1.19827e-02,0.438,0.438
-1.19826e-02,0.442,0.434
-1.19824e-02,0.442,0.442
-1.19822e-02,0.446,0.438
-1.19821e-02,0.446,0.446
-1.19819e-02,0.45,0.438
-1.19818e-02,0.454,0.45
-1.19816e-02,0.458,0.446
-1.19814e-02,0.458,0.458
-1.19813e-02,0.454,0.45
-1.19811e-02,0.454,0.462
-1.19810e-02,0.454,0.454
-1.19808e-02,0.454,0.462
-1.19806e-02,0.454,0.45
-1.19805e-02,0.454,0.458
-1.19803e-02,0.454,0.45
-1.19802e-02,0.454,0.458
-1.19800e-02,0.454,0.45
-1.19798e-02,0.45,0.458
-1.19797e-02,0.45,0.45
-1.19795e-02,0.45,0.458
-1.19794e-02,0.446,0.446
-1.19792e-02,0.446,0.454
-1.19790e-02,0.446,0.442
-1.19789e-02,0.442,0.45
-1.19787e-02,0.442,0.438
-1.19786e-02,0.438,0.45
-1.19784e-02,0.438,0.438
-1.19782e-02,0.442,0.446
-1.19781e-02,0.438,0.438
-1.19779e-02,0.446,0.446
-1.19778e-02,0.446,0.438
-1.19776e-02,0.446,0.45
-1.19774e-02,0.446,0.442
-1.19773e-02,0.446,0.45
-1.19771e-02,0.454,0.442
-1.19770e-02,0.458,0.45
-1.19768e-02,0.458,0.446
-1.19766e-02,0.458,0.458
-1.19765e-02,0.454,0.454
-1.19763e-02,0.454,0.462
-1.19762e-02,0.454,0.45
-1.19760e-02,0.45,0.462
-1.19758e-02,0.45,0.45
-1.19757e-02,0.446,0.458
-1.19755e-02,0.446,0.446
-1.19754e-02,0.446,0.454
-1.19752e-02,0.45,0.442
-1.19750e-02,0.45,0.454
-1.19749e-02,0.45,0.446
-1.19747e-02,0.454,0.454
-1.19746e-02,0.446,0.45
-1.19744e-02,0.45,0.458
-1.19742e-02,0.454,0.446
-1.19741e-02,0.45,0.454
-1.19739e-02,0.45,0.45
-1.19738e-02,0.446,0.458
-1.19736e-02,0.442,0.442
-1.19734e-02,0.442,0.454
-1.19733e-02,0.438,0.438
-1.19731e-02,0.442,0.45
-1.19730e-02,0.446,0.438
-1.19728e-02,0.446,0.446
-1.19726e-02,0.454,0.438
-1.19725e-02,0.454,0.454
-1.19723e-02,0.45,0.446
-1.19722e-02,0.45,0.458
-1.19720e-02,0.45,0.45
-1.19718e-02,0.446,0.458
-1.19717e-02,0.446,0.446
-1.19715e-02,0.446,0.454
-1.19714e-02,0.45,0.446
-1.19712e-02,0.45,0.454
-1.19710e-02,0.454,0.446
-1.19709e-02,0.45,0.454
-1.19707e-02,0.446,0.446
-1.19706e-02,0.446,0.458
-1.19704e-02,0.446,0.442
-1.19702e-02,0.446,0.454
-1.19701e-02,0.45,0.442
-1.19699e-02,0.454,0.45
-1.19698e-02,0.454,0.446
-1.19696e-02,0.454,0.454
-1.19694e-02,0.454,0.45
-1.19693e-02,0.458,0.458
-1.19691e-02,0.454,0.45
-1.19690e-02,0.446,0.462
-1.19688e-02,0.446,0.446
-1.19686e-02,0.446,0.458
-1.19685e-02,0.442,0.442
-1.19683e-02,0.442,0.45
-1.19682e-02,0.446,0.438
-1.19680e-02,0.446,0.446
-1.19678e-02,0.45,0.438
-1.19677e-02,0.458,0.45
-1.19675e-02,0.458,0.446
-1.19674e-02,0.458,0.458
-1.19672e-02,0.458,0.454
-1.19670e-02,0.454,0.462
-1.19669e-02,0.446,0.45
-1.19667e-02,0.446,0.462
-1.19666e-02,0.446,0.442
-1.19664e-02,0.446,0.454
-1.19662e-02,0.45,0.442
-1.19661e-02,0.45,0.45
-1.19659e-02,0.45,0.446
-1.19658e-02,0.454,0.454
-1.19656e-02,0.454,0.446
-1.19654e-02,0.458,0.458
