Model,DPO2024B
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.10216e-02,0.475125
-1.10214e-02,0.474828
-1.10213e-02,0.474438
-1.10211e-02,0.474172
-1.10210e-02,0.473563
-1.10208e-02,0.473938
-1.10206e-02,0.474
-1.10205e-02,0.474078
-1.10203e-02,0.474531
-1.10202e-02,0.474938
-1.10200e-02,0.474734
-1.10198e-02,0.474219
-1.10197e-02,0.474453
-1.10195e-02,0.474266
-1.10194e-02,0.473969
-1.10192e-02,0.473906
-1.10190e-02,0.473906
-1.10189e-02,0.473844
-1.10187e-02,0.473609
-1.10186e-02,0.473438
-1.10184e-02,0.473813
-1.10182e-02,0.473875
-1.10181e-02,0.474203
-1.10179e-02,0.474266
-1.10178e-02,0.474344
-1.10176e-02,0.474453
-1.10174e-02,0.474234
-1.10173e-02,0.474609
-1.10171e-02,0.474031
-1.10170e-02,0.473703
-1.10168e-02,0.473531
-1.10166e-02,0.473938
-1.10165e-02,0.474688
-1.10163e-02,0.474266
-1.10162e-02,0.474594
-1.10160e-02,0.474625
-1.10158e-02,0.474625
-1.10157e-02,0.47475
-1.10155e-02,0.474563
-1.10154e-02,0.474672
-1.10152e-02,0.474719
-1.10150e-02,0.474453
-1.10149e-02,0.474375
-1.10147e-02,0.474375
-1.10146e-02,0.474328
-1.10144e-02,0.474547
-1.10142e-02,0.474625
-1.10141e-02,0.4745
-1.10139e-02,0.475
-1.10138e-02,0.474938
-1.10136e-02,0.474797
-1.10134e-02,0.474859
-1.10133e-02,0.474922
-1.10131e-02,0.474734
-1.10130e-02,0.474828
-1.10128e-02,0.475484
-1.10126e-02,0.475438
-1.10125e-02,0.475234
-1.10123e-02,0.475156
-1.10122e-02,0.474609
-1.10120e-02,0.474688
-1.10118e-02,0.47475
-1.10117e-02,0.474969
-1.10115e-02,0.474813
-1.10114e-02,0.474875
-1.10112e-02,0.475063
-1.10110e-02,0.475047
-1.10109e-02,0.474813
-1.10107e-02,0.474844
-1.10106e-02,0.474672
-1.10104e-02,0.474719
-1.10102e-02,0.474578
-1.10101e-02,0.474656
-1.10099e-02,0.474609
-1.10098e-02,0.474828
-1.10096e-02,0.474922
-1.10094e-02,0.474922
-1.10093e-02,0.475313
-1.10091e-02,0.475078
-1.10090e-02,0.475422
-1.10088e-02,0.475781
-1.10086e-02,0.475688
-1.10085e-02,0.475609
-1.10083e-02,0.4755
-1.10082e-02,0.475547
-1.10080e-02,0.475219
-1.10078e-02,0.474828
-1.10077e-02,0.474922
-1.10075e-02,0.474906
-1.10074e-02,0.475
-1.10072e-02,0.475031
-1.10070e-02,0.474922
-1.10069e-02,0.475406
-1.10067e-02,0.474953
-1.10066e-02,0.474891
-1.10064e-02,0.474906
-1.10062e-02,0.474969
-1.10061e-02,0.475016
-1.10059e-02,0.474344
-1.10058e-02,0.4745
-1.10056e-02,0.474516
-1.10054e-02,0.474156
-1.10053e-02,0.474297
-1.10051e-02,0.473984
-1.10050e-02,0.474125
-1.10048e-02,0.474484
-1.10046e-02,0.474719
-1.10045e-02,0.475016
-1.10043e-02,0.475172
-1.10042e-02,0.475328
-1.10040e-02,0.475172
-1.10038e-02,0.474984
-1.10037e-02,0.474859
-1.10035e-02,0.474813
-1.10034e-02,0.474797
-1.10032e-02,0.474953
-1.10030e-02,0.474938
-1.10029e-02,0.475563
-1.10027e-02,0.475453
-1.10026e-02,0.476297
-1.10024e-02,0.476031
-1.10022e-02,0.476094
-1.10021e-02,0.476438
-1.10019e-02,0.475984
-1.10018e-02,0.476109
-1.10016e-02,0.476219
-1.10014e-02,0.475953
-1.10013e-02,0.476016
-1.10011e-02,0.475906
-1.10010e-02,0.475719
-1.10008e-02,0.475391
-1.10006e-02,0.475391
-1.10005e-02,0.475438
-1.10003e-02,0.475016
-1.10002e-02,0.475172
-1.10000e-02,0.475281
-1.09998e-02,0.475359
-1.09997e-02,0.475156
-1.09995e-02,0.475266
-1.09994e-02,0.475063
-1.09992e-02,0.474797
-1.09990e-02,0.475125
-1.09989e-02,0.474813
-1.09987e-02,0.474438
-1.09986e-02,0.474703
-1.09984e-02,0.475047
-1.09982e-02,0.474734
-1.09981e-02,0.475016
-1.09979e-02,0.475203
-1.09978e-02,0.475578
-1.09976e-02,0.476125
